,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,GENE NAME ASSOCIATION,SUBSYSTEM,MIRIAM,CONFIDENCE SCORE,rxnKEGGID,rxnBiGGID,rxnRecon3DID,rxnMetaNetXID,rxnRheaID,rxnRheaMasterID,abs_cohens_d
MAR00382_pos,491.0,1.2990482793366457e-06,-1.0299428783260107,5.986014471183264e-06,MAR00382,,"(11Z,14Z,17Z)-eicosatrienoyl-CoA[c] + H2O[c] => (11Z,14Z,17Z)-eicosatrienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08192;vmhreaction/HMR_0382;sbo/SBO:0000176,0,R08192,,HMR_0382,,,,1.0299428783260107
MAR00434_pos,491.0,1.2990482793366457e-06,-1.0299428783260096,5.986014471183264e-06,MAR00434,,"(13Z,16Z)-docosadienoyl-CoA[c] + H2O[c] => (13Z,16Z)-docosadienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08273;vmhreaction/HMR_0434;sbo/SBO:0000176,0,R08273,,HMR_0434,,,,1.0299428783260096
MAR00374_pos,491.0,1.2990482793366457e-06,-1.0299428783260065,5.986014471183264e-06,MAR00374,,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c] + H2O[c] => (6Z,9Z,12Z,15Z,18Z,21Z)-THA[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0374;sbo/SBO:0000176,0,,,HMR_0374,,,,1.0299428783260065
MAR00290_pos,491.0,1.2990482793366457e-06,-1.029942878326004,5.986014471183264e-06,MAR00290,,(13Z)-eicosenoyl-CoA[c] + H2O[c] => (13Z)-eicosenoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0290;sbo/SBO:0000176,0,,,HMR_0290,,,,1.029942878326004
MAR00422_pos,491.0,1.2990482793366457e-06,-1.0299428783260016,5.986014471183264e-06,MAR00422,,"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[c] + H2O[c] => (6Z,9Z,12Z,15Z,18Z)-TPA[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0422;sbo/SBO:0000176,0,,,HMR_0422,,,,1.0299428783260016
MAR00346_pos,491.0,1.2990482793366457e-06,-1.0299428783259936,5.986014471183264e-06,MAR00346,,H2O[c] + hexacosenoyl-CoA[c] => CoA[c] + H+[c] + ximenic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0346;sbo/SBO:0000176,0,,,HMR_0346,,,,1.0299428783259936
MAR00390_pos,491.0,1.2990482793366457e-06,-1.0299428783259923,5.986014471183264e-06,MAR00390,,"10,13,16,19-docosatetraenoyl-CoA[c] + H2O[c] => 10,13,16,19-docosatetraenoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0390;sbo/SBO:0000176,0,,,HMR_0390,,,,1.0299428783259923
MAR00193_pos,491.0,1.2990482793366457e-06,-1.0299428783259872,5.986014471183264e-06,MAR00193,,H2O[c] + tridecanoyl-CoA[c] => CoA[c] + H+[c] + tridecylic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0193;sbo/SBO:0000176,0,,,HMR_0193,,,,1.0299428783259872
MAR00310_pos,491.0,1.2990482793366457e-06,-1.0299428783259708,5.986014471183264e-06,MAR00310,,H2O[c] + heneicosanoyl-CoA[c] => CoA[c] + H+[c] + heneicosanoic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0310;sbo/SBO:0000176,0,,,HMR_0310,,,,1.0299428783259708
MAR00210_pos,491.0,1.2990482793366457e-06,-1.029942878325965,5.986014471183264e-06,MAR00210,,5-tetradecenoyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + physeteric acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0210;sbo/SBO:0000176,0,,,HMR_0210,,,,1.029942878325965
MAR00438_pos,491.0,1.2990482793366457e-06,-1.029942878325961,5.986014471183264e-06,MAR00438,,"10,13,16-docosatrienoyl-CoA[c] + H2O[c] => 10,13,16-docosatriynoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0438;sbo/SBO:0000176,0,,,HMR_0438,,,,1.029942878325961
MAR00386_pos,491.0,1.2990482793366457e-06,-1.0299428783259603,5.986014471183264e-06,MAR00386,,"13,16,19-docosatrienoyl-CoA[c] + H2O[c] => 13,16,19-docosatrienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0386;sbo/SBO:0000176,0,,,HMR_0386,,,,1.0299428783259603
MAR00214_pos,491.0,1.2990482793366457e-06,-1.0299428783259583,5.986014471183264e-06,MAR00214,,H2O[c] + pentadecanoyl-CoA[c] => CoA[c] + H+[c] + pentadecylic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0214;sbo/SBO:0000176,0,,,HMR_0214,,,,1.0299428783259583
MAR00280_pos,491.0,1.2990482793366457e-06,-1.0299428783259574,5.986014471183264e-06,MAR00280,,H2O[c] + nonadecanoyl-CoA[c] => CoA[c] + H+[c] + nonadecylic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0280;sbo/SBO:0000176,0,,,HMR_0280,,,,1.0299428783259574
MAR00246_pos,491.0,1.2990482793366457e-06,-1.029942878325957,5.986014471183264e-06,MAR00246,,9-heptadecenoyl-CoA[c] + H2O[c] => 9-heptadecylenic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0246;sbo/SBO:0000176,0,,,HMR_0246,,,,1.029942878325957
MAR00242_pos,491.0,1.2990482793366457e-06,-1.0299428783259372,5.986014471183264e-06,MAR00242,,(10Z)-heptadecenoyl-CoA[c] + H2O[c] => (10Z)-heptadecenoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0242;sbo/SBO:0000176,0,,,HMR_0242,,,,1.0299428783259372
MAR00418_pos,491.0,1.2990482793366457e-06,-1.0299428783259161,5.986014471183264e-06,MAR00418,,"(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[c] + H2O[c] => (9Z,12Z,15Z,18Z)-TTA[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0418;sbo/SBO:0000176,0,,,HMR_0418,,,,1.0299428783259161
MAR00328_pos,491.0,1.2990482793366457e-06,-1.0299428783258933,5.986014471183264e-06,MAR00328,,H2O[c] + tricosanoyl-CoA[c] => CoA[c] + H+[c] + tricosanoic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0328;sbo/SBO:0000176,0,,,HMR_0328,,,,1.0299428783258933
MAR00338_pos,491.0,1.2990482793366457e-06,-1.0299428783258522,5.986014471183264e-06,MAR00338,,(15Z)-tetracosenoyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + nervonic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08188;vmhreaction/RE3237C;metanetx.reaction/MNXR103843;sbo/SBO:0000176,0,R08188,,RE3237C,MNXR103843,,,1.0299428783258522
MAR00332_pos,491.0,1.2990482793366457e-06,-1.0299424658097527,5.986014471183264e-06,MAR00332,,H2O[c] + tetracosanoyl-CoA[c] => CoA[c] + H+[c] + lignocerate[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08185;vmhreaction/RE0579C;metanetx.reaction/MNXR103464;metanetx.reaction/MNXR111757;sbo/SBO:0000176,0,R08185,,RE0579C,MNXR103464;MNXR111757,,,1.0299424658097527
MAR00189_pos,491.0,1.2990482793366457e-06,-1.0299419425379321,5.986014471183264e-06,MAR00189,,H2O[c] + lauroyl-CoA[c] => CoA[c] + H+[c] + lauric acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0189;sbo/SBO:0000176,0,,,HMR_0189,,,,1.0299419425379321
MAR00302_pos,491.0,1.2990482793366457e-06,-1.02994194253793,5.986014471183264e-06,MAR00302,,"(8Z,11Z)-eicosadienoyl-CoA[c] + H2O[c] => 8,11-eicosadienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0302;sbo/SBO:0000176,0,,,HMR_0302,,,,1.02994194253793
MAR00324_pos,491.0,1.2990482793366457e-06,-1.0299419425379104,5.986014471183264e-06,MAR00324,,(11Z)-docosenoyl-CoA[c] + H2O[c] => cis-cetoleic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0324;sbo/SBO:0000176,0,,,HMR_0324,,,,1.0299419425379104
MAR00320_pos,491.0,1.2990482793366457e-06,-1.0299419425379062,5.986014471183264e-06,MAR00320,,(13Z)-docosenoyl-CoA[c] + H2O[c] => cis-erucic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08187;vmhreaction/RE3239C;metanetx.reaction/MNXR103845;sbo/SBO:0000176,0,R08187,,RE3239C,MNXR103845,,,1.0299419425379062
MAR00284_pos,491.0,1.2990482793366457e-06,-1.0299419425379004,5.986014471183264e-06,MAR00284,Icosanoyl-CoA hydrolase,eicosanoyl-CoA[c] + H2O[c] => CoA[c] + eicosanoate[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08175;vmhreaction/RE0577C;metanetx.reaction/MNXR103462;rhea/40148;rhea/40147;sbo/SBO:0000176,0,R08175,,RE0577C,MNXR103462,RHEA:40148,RHEA:40147,1.0299419425379004
MAR00294_pos,491.0,1.2990482793366457e-06,-1.029941942537859,5.986014471183264e-06,MAR00294,,(11Z)-eicosenoyl-CoA[c] + H2O[c] => cis-gondoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08186;vmhreaction/RE3238C;metanetx.reaction/MNXR103844;sbo/SBO:0000176,0,R08186,,RE3238C,MNXR103844,,,1.029941942537859
MAR00268_pos,491.0,1.2990482793366457e-06,-1.0299419425378564,5.986014471183264e-06,MAR00268,,(9E)-octadecenoyl-CoA[c] + H2O[c] => CoA[c] + elaidate[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0268;sbo/SBO:0000176,0,,,HMR_0268,,,,1.0299419425378564
MAR00234_pos,491.0,1.2990482793366457e-06,-1.0299419425377825,5.986014471183264e-06,MAR00234,,7-hexadecenoyl-CoA[c] + H2O[c] => 7-palmitoleic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0234;sbo/SBO:0000176,0,,,HMR_0234,,,,1.0299419425377825
MAR00298_pos,491.0,1.2990482793366457e-06,-1.0298129011741366,5.986014471183264e-06,MAR00298,,9-eicosenoyl-CoA[c] + H2O[c] => 9-eicosenoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0298;sbo/SBO:0000176,0,,,HMR_0298,,,,1.0298129011741366
MAR00414_pos,491.0,1.2990482793366457e-06,-1.029612263692242,5.986014471183264e-06,MAR00414,,"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + H2O[c] => adrenic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08191;vmhreaction/HMR_0414;sbo/SBO:0000176,0,R08191,,HMR_0414,,,,1.029612263692242
MAR00201_pos,491.0,1.2990482793366457e-06,-1.0295702323864007,5.986014471183264e-06,MAR00201,,(9E)-tetradecenoyl-CoA[c] + H2O[c] => (9E)-tetradecenoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0201;sbo/SBO:0000176,0,,,HMR_0201,,,,1.0295702323864007
MAR00276_pos,491.0,1.2990482793366457e-06,-1.029567271154367,5.986014471183264e-06,MAR00276,,"(6Z,9Z)-octadecadienoyl-CoA[c] + H2O[c] => (6Z,9Z)-octadecadienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0276;sbo/SBO:0000176,0,,,HMR_0276,,,,1.029567271154367
MAR00354_pos,491.0,1.2990482793366457e-06,-1.0292552342993102,5.986014471183264e-06,MAR00354,,"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + stearidonic acid[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0354;sbo/SBO:0000176,0,,,HMR_0354,,,,1.0292552342993102
MAR00402_pos,491.0,1.2990482793366457e-06,-1.0291241577073693,5.986014471183264e-06,MAR00402,,gamma-linolenoyl-CoA[c] + H2O[c] => CoA[c] + gamma-linolenate[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08181;vmhreaction/HMR_0402;sbo/SBO:0000176,0,R08181,,HMR_0402,,,,1.0291241577073693
