,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,GENE NAME ASSOCIATION,SUBSYSTEM,MIRIAM,CONFIDENCE SCORE,rxnKEGGID,rxnBiGGID,rxnRecon3DID,rxnMetaNetXID,rxnRheaID,rxnRheaMasterID,abs_cohens_d
MAR00366_pos,57.0,1.0566703847785374e-15,-2.8604574542137255,1.991009014815009e-15,MAR00366,,"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c] + H2O[c] => CoA[c] + DPA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08189;vmhreaction/HMR_0366;sbo/SBO:0000176,0,R08189,,HMR_0366,,,,2.8604574542137255
MAR00201_pos,57.0,1.0566703847785374e-15,-2.8604409195372855,1.991009014815009e-15,MAR00201,,(9E)-tetradecenoyl-CoA[c] + H2O[c] => (9E)-tetradecenoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0201;sbo/SBO:0000176,0,,,HMR_0201,,,,2.8604409195372855
MAR00276_pos,57.0,1.0566703847785374e-15,-2.8604408366016485,1.991009014815009e-15,MAR00276,,"(6Z,9Z)-octadecadienoyl-CoA[c] + H2O[c] => (6Z,9Z)-octadecadienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0276;sbo/SBO:0000176,0,,,HMR_0276,,,,2.8604408366016485
MAR00426_pos,57.0,1.0566703847785374e-15,-2.860418481852431,1.991009014815009e-15,MAR00426,,"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c] + H2O[c] => (4Z,7Z,10Z,13Z,16Z)-DPA[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0426;sbo/SBO:0000176,0,,,HMR_0426,,,,2.860418481852431
MAR00402_pos,57.0,1.0566703847785374e-15,-2.8604013434351834,1.991009014815009e-15,MAR00402,,gamma-linolenoyl-CoA[c] + H2O[c] => CoA[c] + gamma-linolenate[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08181;vmhreaction/HMR_0402;sbo/SBO:0000176,0,R08181,,HMR_0402,,,,2.8604013434351834
MAR00354_pos,57.0,1.0566703847785374e-15,-2.860393641440103,1.991009014815009e-15,MAR00354,,"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + stearidonic acid[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0354;sbo/SBO:0000176,0,,,HMR_0354,,,,2.860393641440103
MAR00414_pos,57.0,1.0566703847785374e-15,-2.860372396729602,1.991009014815009e-15,MAR00414,,"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + H2O[c] => adrenic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08191;vmhreaction/HMR_0414;sbo/SBO:0000176,0,R08191,,HMR_0414,,,,2.860372396729602
MAR00298_pos,57.0,1.0566703847785374e-15,-2.8603602663952445,1.991009014815009e-15,MAR00298,,9-eicosenoyl-CoA[c] + H2O[c] => 9-eicosenoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0298;sbo/SBO:0000176,0,,,HMR_0298,,,,2.8603602663952445
MAR00332_pos,57.0,1.0566703847785374e-15,-2.86035256834886,1.991009014815009e-15,MAR00332,,H2O[c] + tetracosanoyl-CoA[c] => CoA[c] + H+[c] + lignocerate[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08185;vmhreaction/RE0579C;metanetx.reaction/MNXR103464;metanetx.reaction/MNXR111757;sbo/SBO:0000176,0,R08185,,RE0579C,MNXR103464;MNXR111757,,,2.86035256834886
MAR00314_pos,57.0,1.0566703847785374e-15,-2.860352547275455,1.991009014815009e-15,MAR00314,,docosanoyl-CoA[c] + H2O[c] => behenic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08184;vmhreaction/RE0578C;metanetx.reaction/MNXR103463;rhea/40783;sbo/SBO:0000176,0,R08184,,RE0578C,MNXR103463,,RHEA:40783,2.860352547275455
MAR00320_pos,57.0,1.0566703847785374e-15,-2.860352405094746,1.991009014815009e-15,MAR00320,,(13Z)-docosenoyl-CoA[c] + H2O[c] => cis-erucic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08187;vmhreaction/RE3239C;metanetx.reaction/MNXR103845;sbo/SBO:0000176,0,R08187,,RE3239C,MNXR103845,,,2.860352405094746
MAR00324_pos,57.0,1.0566703847785374e-15,-2.860352405094741,1.991009014815009e-15,MAR00324,,(11Z)-docosenoyl-CoA[c] + H2O[c] => cis-cetoleic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0324;sbo/SBO:0000176,0,,,HMR_0324,,,,2.860352405094741
MAR00268_pos,57.0,1.0566703847785374e-15,-2.86035240509474,1.991009014815009e-15,MAR00268,,(9E)-octadecenoyl-CoA[c] + H2O[c] => CoA[c] + elaidate[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0268;sbo/SBO:0000176,0,,,HMR_0268,,,,2.86035240509474
MAR00234_pos,57.0,1.0566703847785374e-15,-2.8603524050947304,1.991009014815009e-15,MAR00234,,7-hexadecenoyl-CoA[c] + H2O[c] => 7-palmitoleic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0234;sbo/SBO:0000176,0,,,HMR_0234,,,,2.8603524050947304
MAR00189_pos,57.0,1.0566703847785374e-15,-2.860352405094723,1.991009014815009e-15,MAR00189,,H2O[c] + lauroyl-CoA[c] => CoA[c] + H+[c] + lauric acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0189;sbo/SBO:0000176,0,,,HMR_0189,,,,2.860352405094723
MAR00294_pos,57.0,1.0566703847785374e-15,-2.8603524050946785,1.991009014815009e-15,MAR00294,,(11Z)-eicosenoyl-CoA[c] + H2O[c] => cis-gondoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08186;vmhreaction/RE3238C;metanetx.reaction/MNXR103844;sbo/SBO:0000176,0,R08186,,RE3238C,MNXR103844,,,2.8603524050946785
MAR00302_pos,57.0,1.0566703847785374e-15,-2.8603524050946736,1.991009014815009e-15,MAR00302,,"(8Z,11Z)-eicosadienoyl-CoA[c] + H2O[c] => 8,11-eicosadienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0302;sbo/SBO:0000176,0,,,HMR_0302,,,,2.8603524050946736
MAR00284_pos,57.0,1.0566703847785374e-15,-2.8603524050946447,1.991009014815009e-15,MAR00284,Icosanoyl-CoA hydrolase,eicosanoyl-CoA[c] + H2O[c] => CoA[c] + eicosanoate[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08175;vmhreaction/RE0577C;metanetx.reaction/MNXR103462;rhea/40148;rhea/40147;sbo/SBO:0000176,0,R08175,,RE0577C,MNXR103462,RHEA:40148,RHEA:40147,2.8603524050946447
MAR00370_pos,57.0,1.0566703847785374e-15,-2.8603523455867075,1.991009014815009e-15,MAR00370,,"(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c] + H2O[c] => (9Z,12Z,15Z,18Z,21Z)-TPA[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0370;sbo/SBO:0000176,0,,,HMR_0370,,,,2.8603523455867075
MAR00438_pos,57.0,1.0566703847785374e-15,-2.860352345586677,1.991009014815009e-15,MAR00438,,"10,13,16-docosatrienoyl-CoA[c] + H2O[c] => 10,13,16-docosatriynoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0438;sbo/SBO:0000176,0,,,HMR_0438,,,,2.860352345586677
MAR00242_pos,57.0,1.0566703847785374e-15,-2.860352345586669,1.991009014815009e-15,MAR00242,,(10Z)-heptadecenoyl-CoA[c] + H2O[c] => (10Z)-heptadecenoic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0242;sbo/SBO:0000176,0,,,HMR_0242,,,,2.860352345586669
MAR00346_pos,57.0,1.0566703847785374e-15,-2.8603523455866555,1.991009014815009e-15,MAR00346,,H2O[c] + hexacosenoyl-CoA[c] => CoA[c] + H+[c] + ximenic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0346;sbo/SBO:0000176,0,,,HMR_0346,,,,2.8603523455866555
MAR00310_pos,57.0,1.0566703847785374e-15,-2.860352345586652,1.991009014815009e-15,MAR00310,,H2O[c] + heneicosanoyl-CoA[c] => CoA[c] + H+[c] + heneicosanoic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0310;sbo/SBO:0000176,0,,,HMR_0310,,,,2.860352345586652
MAR00342_pos,57.0,1.0566703847785374e-15,-2.8603523455866373,1.991009014815009e-15,MAR00342,,H2O[c] + hexacosanoyl-CoA[c] => cerotic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0342;sbo/SBO:0000176,0,,,HMR_0342,,,,2.8603523455866373
MAR00430_pos,57.0,1.0566703847785374e-15,-2.860352345586614,1.991009014815009e-15,MAR00430,,"(11Z,14Z)-eicosadienoyl-CoA[c] + H2O[c] => (11Z,14Z)-eicosadienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08190;vmhreaction/HMR_0430;sbo/SBO:0000176,0,R08190,,HMR_0430,,,,2.860352345586614
MAR00374_pos,57.0,1.0566703847785374e-15,-2.8603523455865894,1.991009014815009e-15,MAR00374,,"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c] + H2O[c] => (6Z,9Z,12Z,15Z,18Z,21Z)-THA[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0374;sbo/SBO:0000176,0,,,HMR_0374,,,,2.8603523455865894
MAR00246_pos,57.0,1.0566703847785374e-15,-2.860352345586588,1.991009014815009e-15,MAR00246,,9-heptadecenoyl-CoA[c] + H2O[c] => 9-heptadecylenic acid[c] + CoA[c] + H+[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0246;sbo/SBO:0000176,0,,,HMR_0246,,,,2.860352345586588
MAR00214_pos,57.0,1.0566703847785374e-15,-2.860352345586582,1.991009014815009e-15,MAR00214,,H2O[c] + pentadecanoyl-CoA[c] => CoA[c] + H+[c] + pentadecylic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0214;sbo/SBO:0000176,0,,,HMR_0214,,,,2.860352345586582
MAR00338_pos,57.0,1.0566703847785374e-15,-2.860352345586579,1.991009014815009e-15,MAR00338,,(15Z)-tetracosenoyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + nervonic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08188;vmhreaction/RE3237C;metanetx.reaction/MNXR103843;sbo/SBO:0000176,0,R08188,,RE3237C,MNXR103843,,,2.860352345586579
MAR00434_pos,57.0,1.0566703847785374e-15,-2.860352345586579,1.991009014815009e-15,MAR00434,,"(13Z,16Z)-docosadienoyl-CoA[c] + H2O[c] => (13Z,16Z)-docosadienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,kegg.reaction/R08273;vmhreaction/HMR_0434;sbo/SBO:0000176,0,R08273,,HMR_0434,,,,2.860352345586579
MAR00306_pos,57.0,1.0566703847785374e-15,-2.860352345586573,1.991009014815009e-15,MAR00306,,"(5Z,8Z,11Z)-eicosatrienoyl-CoA[c] + H2O[c] => CoA[c] + H+[c] + mead acid[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0306;sbo/SBO:0000176,0,,,HMR_0306,,,,2.860352345586573
MAR00394_pos,57.0,1.0566703847785374e-15,-2.8603523455865707,1.991009014815009e-15,MAR00394,,"12,15,18,21-tetracosatetraenoyl-CoA[c] + H2O[c] => 12,15,18,21-tetracosatetraenoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0394;sbo/SBO:0000176,0,,,HMR_0394,,,,2.8603523455865707
MAR00386_pos,57.0,1.0566703847785374e-15,-2.8603523455865583,1.991009014815009e-15,MAR00386,,"13,16,19-docosatrienoyl-CoA[c] + H2O[c] => 13,16,19-docosatrienoic acid[c] + CoA[c] + H+[c]",3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0386;sbo/SBO:0000176,0,,,HMR_0386,,,,2.8603523455865583
MAR00193_pos,57.0,1.0566703847785374e-15,-2.860352345586541,1.991009014815009e-15,MAR00193,,H2O[c] + tridecanoyl-CoA[c] => CoA[c] + H+[c] + tridecylic acid[c],3.1.2.2,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,"[['ACOT7'], ['ACOT2'], ['BAAT'], ['ACOT4'], ['ACOT1'], ['ACOT6']]",Acyl-CoA hydrolysis,vmhreaction/HMR_0193;sbo/SBO:0000176,0,,,HMR_0193,,,,2.860352345586541
